date,samples,comment,take,of,i,wet,is,memory,all,toilet,dry,"
- "
Tue Feb 06 08:00:00 CST 2024,"[{:location :ThMuOutsideWasp, :bottle :P, :board :R19, :vial :AHDK, :comment """"} {:location :ThMuOutsideDrone, :board :R02, :vial :AMYF, :comment """"} {:location :ThMuCh0ConjoinedBottom, :board :R05, :vial :AZWT, :comment ""Very little water""} {:location :ThMuCh1LongLizard, :board :R09, :vial :EMPTY, :comment ""bottle has hole (different from before). No water""} {:location :ThMuCh2Sh01BrownTop, :bottle :S, :board :R15, :vial :AEQE, :comment ""TODO: Logger not changed! Still `:R15` Ask Nong""} {:location :ThMuCh2Sh01Thumb, :board :R11, :vial :AQAQ, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :board :R12, :vial :AQDF, :comment """"} {:location :ThMuCH2Sh02PairTall, :board :R13, :vial :AFBW, :comment """"}]","Note:
- Nong: 'dry season'",,,,,,,,,,
Sun Jan 21 08:00:00 CST 2024,"[{:location :ThMuOutsideWasp, :bottle :P, :board :R16, :vial :AKEX, :comment """"} {:location :ThMuOutsideDrone, :board :R14, :vial :AVXW, :comment ""Rat bite! Missing datav. Outside this time :S""} {:location :ThMuCh0ConjoinedBottom, :board :R01, :vial :AGTC, :comment """"} {:location :ThMuCh1LongLizard, :board :R08, :vial :ALVQ, :comment ""bottle and tube disconnected""} {:location :ThMuCh2Sh01BrownTop, :bottle :S, :board :R15, :vial :AEQE, :comment """"} {:location :ThMuCh2Sh01Thumb, :board :R04, :vial :ARQC, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :board :R06, :vial :AFFJ, :comment """"} {:location :ThMuCH2Sh02PairTall, :board :R10, :vial :AVNL, :comment """"}]","Note:
- Nong: 'i sent r08 2 time, sorry' 
- More springs rusted through. He just wraps with the copper wire",,,,,,,,,,
Thu Jan 04 08:00:00 CST 2024,"[{:location :ThMuOutsideWasp, :bottle :P, :board :R02, :vial :ASVJ, :comment ""Seems it's finally all up and running""} {:location :ThMuOutsideDrone, :board :R20, :vial :AGYU, :comment """"} {:location :ThMuCh0ConjoinedBottom, :board :R11, :vial :AVXC, :comment """"} {:location :ThMuCh1LongLizard, :board :R05, :vial :AEFF, :comment ""Bottle has hole bitten out of it!""} {:location :ThMuCh2Sh01BrownTop, :bottle :S, :board :R12, :vial :AAXP, :comment """"} {:location :ThMuCh2Sh01Thumb, :board :R03, :vial :ARWT, :comment ""SD card maybe corrupted ??""} {:location :ThMuCH2Sh02WhiteLoner, :bottle :H, :board :R15, :vial :ABAB, :comment """"} {:location :ThMuCH2Sh02PairTall, :board :R13, :vial :ATEJ, :comment """"}]","Note:
- Nong asked to be paid
- Wasp thing still at the wasp
- He leaves on a one week roadtrip ",,,,,,,,,,
Sat Dec 23 08:00:00 CST 2023,"[{:location :ThMuOutsideWasp, :board :START, :vial :START, :comment ""Spoon in rain gauge got sticky. Ant nest inside""} {:location :ThMuOutsideDrone, :board :R07, :vial :EMPTY, :comment ""Bottle `:D` snapped off tube""} {:location :ThMuCh0ConjoinedBottom, :board :R01, :vial :ADKN, :comment ""Rat bites the cable again! Nong fixes it""} {:location :ThMuCh1LongLizard, :board :R08, :vial :AECU, :comment ""I think Nong re-fixes the cables (wrong wiring)""} {:location :ThMuCh2Sh01BrownTop, :bottle :S, :board :R06, :vial :AYEC, :comment """"} {:location :ThMuCh2Sh01Thumb, :board :R14, :vial :AGQJ, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :bottle :H, :board :R04, :vial :AJLA, :comment """"} {:location :ThMuCH2Sh02PairTall, :board :R10, :vial :ABER, :comment """"}]","Note:
- More problems with rats
- Nong: 'Rain gauge from A bottle that i fix last time, i think i made it wrang with the coller of cable, i fix it again like in the picture, can you check it's right or not'
- TODO: Figure out wire colors",,,,,,,,,,
Tue Dec 12 08:00:00 CST 2023,"[{:location :ThMuOutsideWasp, :board :START, :vial :START, :comment ""Had to be cleared of wasps it seems""} {:location :ThMuOutsideDrone, :board :R15, :vial :AJJT, :comment """"} {:location :ThMuCh0ConjoinedBottom, :board :START, :vial :AYYB, :comment ""Gauge replaced b/c of previous rat bite""} {:location :ThMuCh1LongLizard, :board :R12, :vial :ACNU, :comment ""Rat bite!!! Probably missing data""} {:location :ThMuCh2Sh01BrownTop, :bottle :S, :board :R05, :vial :AHUQ, :comment """"} {:location :ThMuCh2Sh01Thumb, :board :R11, :vial :AHRY, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :bottle :H, :board :R19, :vial :ATJP, :comment """"} {:location :ThMuCH2Sh02PairTall, :board :R13, :vial :AQLK, :comment """"}]","Note:
- Wasp nest destroyed.. no new rain gauge data though? (b/c no logger)",,,,,,,,,,
Tue Nov 21 08:00:00 CST 2023,"[{:location :ThMuOutsideWasp, :board :R04, :vial nil, :comment ""Seems this is new? Battery Empty!""} {:location :ThMuOutsideDrone, :board :RO3, :vial :ATLL, :comment ""Pics show `:R03` but that was in-cave last time""} {:location :ThMuCh0ConjoinedBottom, :board :R01, :vial :AEVW, :comment ""Rat bite cable! So probably missing data""} {:location :ThMuCh1LongLizard, :board :R16, :vial :AAMR, :comment """"} {:location :ThMuCh2Sh01BrownTop, :bottle :S, :board :R08, :vial :ANKZ, :comment ""Nong: `Just installed the bottle` - little water""} {:location :ThMuCh2Sh01Thumb, :board :R07, :vial :AEYG, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :bottle :H, :board :R06, :vial :EMPTY, :comment ""No water (pic)""} {:location :ThMuCH2Sh02PairTall, :board :R14, :vial :AKXF, :comment """"}]","Note:
- `:RG01` cable broken, maybe by a rat
- AEVW has the wrong date written (says 23 instead of 21)
- There was an earthquake recently. It affected other caves
- Water level is low
- No rain for about a week
- After this Nong goes to Bangkok to save the mountain",,,,,,,,,,
Fri Nov 03 08:00:00 CST 2023,"[{:location :ThMuOutsideWasp, :gauge :RG04, :board :START, :comment ""Nong installs logger but b/c wasps no bottle""} {:location :ThMuOutsideDrone, :board :R19, :vial :AJMG, :comment """"} {:location :ThMuCh0ConjoinedBottom, :board :R02, :vial :AASZ, :comment ""Nong say : 'Less water'""} {:location :ThMuCh1LongLizard, :board :R13, :vial :ACYG, :comment """"} {:location :ThMuCh2Sh01BrownTop, :bottle :START, :board :R05, :vial :START, :comment ""Nong: `Just installed the bottle`""} {:location :ThMuCh2Sh01Thumb, :board :R03, :vial :AURB, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :bottle :H, :board :R10, :vial :AACC, :comment """"} {:location :ThMuCH2Sh02PairTall, :board :R12, :vial :ASNN, :comment """"}]","Note:
TODO: NONG MANUALLY TESTED ALL GAUGES - CHECK VALUES
- 'Every bottle has less water'
- 'Water level is a little bit low in the cave'
- Brought gauge to install at `:ThMuCH2WallPole` but no legs
- But `:ThMuCH2WallPole` is also dry..
- Wasp nest is getting huge - couldn't install bottle
For next time:
- Check what's going on at `:C` and `:H`
- Move wasp rain gauge to have a concurrent outside thing (needs bottle and water)
- Why did `:B` start to suddenly work on the 29th?
- water samples need to be mailed to NTU",,,,,,,,,,
Sat Oct 21 08:00:00 CST 2023,"[{:location :ThMuOutsideDrone, :board :R07, :vial :AYXP, :comment ""TODO: Check this vial b/c it's not in photos""} {:location :ThMuCh0ConjoinedBottom, :board :R16, :vial :APUL, :comment """"} {:location :ThMuCh1LongLizard, :board :R01, :vial :AYKX, :comment """"} {:location :ThMuCh2Sh01Thumb, :board :R08, :vial :ADPF, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :bottle :H, :board :R14, :vial :EMPTY, :comment ""No water, see pics""} {:location :ThMuCH2Sh02PairTall, :board :R06, :vial :AYNS, :comment """"}]","Note:
- Nong didn't do a lot of the stuff that needed to be done
- Still no new covers
- Still no new bottles",,,,,,,,,,
Thu Oct 05 08:00:00 CST 2023,"[{:location :ThMuCh1LongLizard, :board :R03, :vial :ACWM, :comment """"} {:location :ThMuCh2Sh01Thumb, :board :R12, :vial :AUNG, :comment """"} {:location :ThMuCH2Sh02PairTall, :board :R02, :vial :AUSZ, :comment ""Note:\n- Transparent Lid/Cover replaced\n- Now it's a narrower green funnel \n- Pics show bottle `:C` is attached\n- Gauge confirmed to have no-num""} {:location :ThMuOutsideDrone, :board :R07, :vial :ALPE, :comment """"} {:location :ThMuCh0ConjoinedBottom, :board :R11, :vial :APGR, :comment """"} {:location :ThMuCH2Sh02WhiteLoner, :bottle nil, :comment ""Note:\n- A new bottle `:H` (ketchup style) was brought and attached (see pics)\n- Previously there was no bottle (didn't have enough)\n- Blue/Teal Funnel attached on top""}]","Note:
- Going back, this time together with Hott",,,,,,,,,,
Fri Sep 29 08:00:00 CST 2023,"[{:location :ThMuCh0ConjoinedBottom, :bottle :X, :gauge :RG06, :board :START, :comment ""Note:\n- This had: `:RG02` and `X` (see pics)\n- Installed `:RG06`, which was outside before, but now had legs added\n- No pic showing `:R11` and `:RG86` at the same time""} {:location :ThMuCh1LongLizard, :gauge nil, :board nil, :comment ""Note:\n- On a grey bucket, on a pink basket\n- Was `:RG03`, now a new rain gauge (no number) with leg brackets""} {:location :ThMuCH2Sh02PairTall, :comment ""Note:\n- Raplacing raing gauge `:RG04` (see pics)\n- No water collected?""} {:location :ThMuCH2Sh02WhiteLoner, :gauge nil, :comment ""Note:\n- I think this is setup by PDay\n- No picture b/c I didn't go back after the install""} {:location :ThMuCh2Sh01Thumb, :gauge nil, :bottle :B, :comment ""Note:\n- Had rain gauge `:RG01` before\n- Now has no-num new gauge\n- Had crumbled clay in funnel\n- Seems to be connected to `:B` (in pic next time)\n- ADDED: I think `:B` was moved from `Sh1` to `Sh0`\n- `:R12` connected""} {:location :ThMuCh2Sh01BrownTop, :comment ""Note:\n- Wasn't monitored before\n- New gauge installed (with legs)\n- A bit tricky b/c at the edge\n- Not enough tubing to connect water collector\n- `:R19` connected""}]","Note:
Finally going into the cave with Nong to install all the gauges",,,,,,,,,,
